/Users/tom.wattley/Code/Projects/racing-api-project/racing-etl/src/pipelines/matching_pipeline.py:3: DeprecationWarning: 
Pyarrow will become a required dependency of pandas in the next major release of pandas (pandas 3.0),
(to allow more performant data types, such as the Arrow string type, and better interoperability with other libraries)
but was not found to be installed on your system.
If this would cause problems for you,
please provide us feedback at https://github.com/pandas-dev/pandas/issues/54466
        
  import pandas as pd
2024-03-25T15:53:17Z - INFO     logging_config.py:19 - Found match for horse debtowings on 2024-03-22
2024-03-25T15:53:17Z - INFO     logging_config.py:19 - Found match for horse debtowings on 2024-03-22 except trainer
2024-03-25T15:53:17Z - INFO     logging_config.py:19 - 2/10
2024-03-25T15:53:17Z - INFO     logging_config.py:19 - Entity name: cillmocheallog
2024-03-25T15:53:17Z - INFO     logging_config.py:19 - Matching horse cillmocheallog on 2024-03-22
2024-03-25T15:53:17Z - INFO     logging_config.py:19 - Course ID: 23
2024-03-25T15:53:17Z - INFO     logging_config.py:19 - Found match for horse cillmocheallog on 2024-03-22
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Found match for horse cillmocheallog on 2024-03-22 except trainer
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - 3/10
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Entity name: marisangel
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Matching horse marisangel on 2024-03-22
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Course ID: 47
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Found match for horse marisangel on 2024-03-22
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Found match for horse marisangel on 2024-03-22 except trainer
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - 4/10
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Entity name: grandlad
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Matching horse grandlad on 2024-03-22
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Course ID: 56
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Found match for horse grandlad on 2024-03-22
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Found match for horse grandlad on 2024-03-22 except trainer
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - 5/10
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Entity name: arnaman
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Matching horse arnaman on 2024-03-22
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Course ID: 23
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Found match for horse arnaman on 2024-03-22
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Found match for horse arnaman on 2024-03-22 except trainer
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - 6/10
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Entity name: restlessprince
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Matching horse restlessprince on 2024-03-22
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Course ID: 56
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Found match for horse restlessprince on 2024-03-22
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Found match for horse restlessprince on 2024-03-22 except trainer
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - 7/10
2024-03-25T15:53:18Z - INFO     logging_config.py:19 - Entity name: adaaylikethis
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - Matching horse adaaylikethis on 2024-03-22
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - Course ID: 23
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - Found match for horse adaaylikethis on 2024-03-22
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - Found match for horse adaaylikethis on 2024-03-22 except trainer
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - 8/10
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - Entity name: sliogan
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - Matching horse sliogan on 2024-03-22
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - Course ID: 23
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - Found match for horse sliogan on 2024-03-22
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - Found match for horse sliogan on 2024-03-22 except trainer
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - 9/10
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - Entity name: huffinanapuffin
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - Matching horse huffinanapuffin on 2024-03-22
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - Course ID: 55
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - Found match for horse huffinanapuffin on 2024-03-22
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - Found match for horse huffinanapuffin on 2024-03-22 except trainer
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - Found 10 matches
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - Truncating staging.horse
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - Executing query: TRUNCATE TABLE staging.horse
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - Query executed. Number of rows affected: -1
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - Storing 10 records in staging.horse
2024-03-25T15:53:19Z - INFO     logging_config.py:19 - Matching sires
2024-03-25T15:53:24Z - INFO     logging_config.py:19 - Query SELECT * FROM tf_raw.unmatched_sires 
		 | returned 1 records |
2024-03-25T15:53:24Z - INFO     logging_config.py:19 - Found 1 unique sires
2024-03-25T15:53:24Z - INFO     logging_config.py:19 - Matching sires
2024-03-25T15:53:32Z - INFO     logging_config.py:19 - 0/1
2024-03-25T15:53:32Z - INFO     logging_config.py:19 - Entity name: mrowen
2024-03-25T15:53:32Z - INFO     logging_config.py:19 - Matching sire mrowen on 2024-03-22
2024-03-25T15:53:32Z - INFO     logging_config.py:19 - Course ID: 47
2024-03-25T15:53:33Z - INFO     logging_config.py:19 - Found match for sire mrowen on 2024-03-22
2024-03-25T15:53:33Z - INFO     logging_config.py:19 - Found 1 matches
2024-03-25T15:53:33Z - INFO     logging_config.py:19 - Truncating staging.sire
2024-03-25T15:53:33Z - INFO     logging_config.py:19 - Executing query: TRUNCATE TABLE staging.sire
2024-03-25T15:53:34Z - INFO     logging_config.py:19 - Query executed. Number of rows affected: -1
2024-03-25T15:53:34Z - INFO     logging_config.py:19 - Storing 1 records in staging.sire
2024-03-25T15:53:34Z - INFO     logging_config.py:19 - Matching dams
2024-03-25T15:53:38Z - INFO     logging_config.py:19 - Query SELECT * FROM tf_raw.unmatched_dams 
		 | returned 3 records |
2024-03-25T15:53:38Z - INFO     logging_config.py:19 - Found 3 unique dams
2024-03-25T15:53:38Z - INFO     logging_config.py:19 - Matching dams
2024-03-25T15:53:49Z - INFO     logging_config.py:19 - 0/3
2024-03-25T15:53:49Z - INFO     logging_config.py:19 - Entity name: princesspalliser
2024-03-25T15:53:49Z - INFO     logging_config.py:19 - Matching dam princesspalliser on 2024-03-22
2024-03-25T15:53:49Z - INFO     logging_config.py:19 - Course ID: 56
2024-03-25T15:53:49Z - INFO     logging_config.py:19 - Found match for dam princesspalliser on 2024-03-22
2024-03-25T15:53:49Z - INFO     logging_config.py:19 - 1/3
2024-03-25T15:53:49Z - INFO     logging_config.py:19 - Entity name: muchbetter
2024-03-25T15:53:49Z - INFO     logging_config.py:19 - Matching dam muchbetter on 2024-03-22
2024-03-25T15:53:49Z - INFO     logging_config.py:19 - Course ID: 47
2024-03-25T15:53:49Z - INFO     logging_config.py:19 - Found match for dam muchbetter on 2024-03-22
2024-03-25T15:53:49Z - INFO     logging_config.py:19 - 2/3
2024-03-25T15:53:49Z - INFO     logging_config.py:19 - Entity name: tralongbay
2024-03-25T15:53:49Z - INFO     logging_config.py:19 - Matching dam tralongbay on 2024-03-22
2024-03-25T15:53:49Z - INFO     logging_config.py:19 - Course ID: 56
2024-03-25T15:53:49Z - INFO     logging_config.py:19 - Found match for dam tralongbay on 2024-03-22
2024-03-25T15:53:49Z - INFO     logging_config.py:19 - Found 3 matches
2024-03-25T15:53:50Z - INFO     logging_config.py:19 - Truncating staging.dam
2024-03-25T15:53:50Z - INFO     logging_config.py:19 - Executing query: TRUNCATE TABLE staging.dam
2024-03-25T15:53:50Z - INFO     logging_config.py:19 - Query executed. Number of rows affected: -1
2024-03-25T15:53:50Z - INFO     logging_config.py:19 - Storing 3 records in staging.dam
2024-03-25T15:53:50Z - INFO     logging_config.py:19 - Calling stored procedure public.load_fuzzy_matches()
2024-03-25T15:53:50Z - INFO     logging_config.py:19 - Stored procedure public.load_fuzzy_matches() completed
